Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,City,Zip Code,Lat Long,Latitude,Longitude,Population
Female,73,No,Yes,Yes,No,0,Yes,1,47,No Offer,Yes,26.95,No,Yes,Fiber Optic,26,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,70.55,3309.25,26.99,0,1266.65,4548.91,3,Churned,Yes,1,82,4457,Competitor made better offer,Escondido,92027,"33.141265, -116.967221",33.141265,-116.967221,48690
Male,64,No,No,No,No,0,No,0,50,Offer B,Yes,47.16,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,24.9,1195.25,0.0,0,2358.0,3553.25,4,Stayed,No,0,68,4297,Not Churned,Mt Baldy,91759,"34.231318, -117.662032",34.231318,-117.662032,47
Male,28,Yes,No,Yes,No,0,Yes,9,52,No Offer,Yes,10.4,No,Yes,DSL,85,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,75.4,3865.45,0.0,0,540.8000000000001,4406.25,5,Stayed,No,0,59,5211,Not Churned,San Diego,92119,"32.802959, -117.027095",32.802959,-117.027095,21866
Female,35,No,No,Yes,Yes,3,Yes,1,11,Offer D,Yes,29.01,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.25,180.3,0.0,0,319.11,499.41,1,Churned,Yes,1,69,5638,Attitude of support person,Compton,90221,"33.885811, -118.206459",33.885811,-118.206459,51387
Male,67,No,Yes,Yes,No,0,Yes,1,13,No Offer,Yes,31.7,Yes,Yes,Cable,6,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.25,1233.65,48.09,0,412.1,1597.66,1,Churned,Yes,1,90,2982,Competitor had better devices,Murrieta,92563,"33.581045, -117.14719",33.581045,-117.14719,18311
Female,30,No,No,No,No,0,No,0,3,No Offer,Yes,26.26,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.55,222.3,0.0,0,78.78,301.08,1,Churned,Yes,1,87,2876,Competitor offered higher download speeds,Earlimart,93219,"35.858054, -119.305858",35.858054,-119.305858,9318
Male,64,No,No,Yes,No,0,Yes,6,72,No Offer,Yes,23.27,Yes,Yes,Fiber Optic,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,114.1,8086.4,0.0,0,1675.44,9761.84,3,Stayed,No,0,61,4965,Not Churned,Fallbrook,92028,"33.362575, -117.299644",33.362575,-117.299644,42239
Female,46,No,No,No,No,0,No,0,4,No Offer,Yes,12.58,No,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,70.05,266.9,0.0,0,50.32,317.22,1,Churned,Yes,1,89,3600,Competitor had better devices,Berkeley,94703,"37.863843, -122.275684",37.863843,-122.275684,19763
Male,71,No,Yes,No,No,0,No,0,55,No Offer,No,0.0,No,Yes,DSL,23,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,50.05,2743.45,0.0,0,0.0,2743.45,4,Stayed,No,0,70,4932,Not Churned,Potrero,91963,"32.619465, -116.593605",32.619465,-116.593605,905
Male,29,Yes,No,No,No,0,No,0,3,No Offer,No,0.0,No,Yes,DSL,85,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,35.45,106.85,0.0,0,0.0,106.85,1,Churned,Yes,1,70,2095,Moved,Cabazon,92230,"33.929812, -116.76058",33.929812,-116.76058,2355
